image_id,Top1_预测,Top2_预测,Top3_预测,真实病名,真实标签ID,是否正确(Top1)
ISIC_0057343,BCC,SCC,DF,BCC,2,YES
ISIC_0054755,MEL,BCC,SCC,MEL,0,YES
ISIC_0060528,NV,MEL,BKL,MEL,0,NO
ISIC_0062412,MEL,BCC,VASC,VASC,6,NO
ISIC_0058620,BKL,AK,BCC,AK,3,NO
ISIC_0066995,NV,BKL,MEL,BKL,4,NO
ISIC_0062729,BCC,BKL,SCC,BCC,2,YES
ISIC_0073042,AK,BCC,SCC,AK,3,YES
ISIC_0054415,MEL,BCC,VASC,VASC,6,NO
ISIC_0035919,DF,BKL,NV,DF,5,YES
ISIC_0063925,SCC,BCC,AK,BCC,2,NO
ISIC_0071462,AK,SCC,BCC,SCC,7,NO
ISIC_0062758,DF,BCC,MEL,DF,5,YES
ISIC_0034402,SCC,DF,BCC,SCC,7,YES
ISIC_0035844,DF,NV,BCC,DF,5,YES
ISIC_0034906,SCC,BCC,AK,SCC,7,YES
ISIC_0060779,AK,BKL,BCC,AK,3,YES
ISIC_0070194,DF,BCC,SCC,DF,5,YES
ISIC_0073084,BCC,AK,SCC,BCC,2,YES
ISIC_0055784,BCC,NV,MEL,AK,3,NO
ISIC_0055163,BCC,AK,BKL,AK,3,NO
ISIC_0055761,BCC,SCC,AK,AK,3,NO
ISIC_0066966,SCC,AK,BCC,SCC,7,YES
ISIC_0059315,MEL,BKL,BCC,MEL,0,YES
ISIC_0034997,NV,MEL,BKL,BKL,4,NO
ISIC_0072308,NV,BCC,MEL,BCC,2,NO
ISIC_0034849,BKL,SCC,MEL,BKL,4,YES
ISIC_0054895,AK,BKL,BCC,BKL,4,NO
ISIC_0067099,SCC,BCC,MEL,MEL,0,NO
ISIC_0035855,BCC,SCC,AK,BCC,2,YES
ISIC_0057533,MEL,NV,BKL,SCC,7,NO
ISIC_0070325,BKL,MEL,AK,BKL,4,YES
ISIC_0035029,SCC,BCC,AK,SCC,7,YES
ISIC_0069615,BCC,BKL,MEL,SCC,7,NO
ISIC_0069677,VASC,SCC,DF,SCC,7,NO
ISIC_0072765,MEL,BCC,BKL,SCC,7,NO
ISIC_0069835,BCC,AK,BKL,BCC,2,YES
ISIC_0056847,BCC,BKL,AK,NV,1,NO
ISIC_0035247,VASC,DF,BCC,VASC,6,YES
ISIC_0070477,BCC,AK,MEL,MEL,0,NO
ISIC_0034476,NV,MEL,BKL,NV,1,YES
ISIC_0071659,AK,SCC,BCC,SCC,7,NO
ISIC_0064410,SCC,AK,BCC,BCC,2,NO
ISIC_0055231,AK,BKL,MEL,BKL,4,NO
ISIC_0035650,BKL,NV,MEL,DF,5,NO
ISIC_0056434,AK,SCC,BCC,BCC,2,NO
ISIC_0057802,AK,BCC,BKL,BKL,4,NO
ISIC_0068441,AK,BKL,BCC,AK,3,YES
ISIC_0035685,DF,SCC,AK,DF,5,YES
ISIC_0061522,MEL,BKL,AK,MEL,0,YES
ISIC_0064164,BKL,AK,MEL,SCC,7,NO
ISIC_0061113,NV,BCC,VASC,NV,1,YES
ISIC_0068045,NV,MEL,BKL,NV,1,YES
ISIC_0034571,BKL,MEL,NV,BKL,4,YES
ISIC_0056075,BKL,NV,AK,AK,3,NO
ISIC_0059445,AK,BKL,BCC,AK,3,YES
ISIC_0066827,MEL,BKL,NV,MEL,0,YES
ISIC_0059478,BKL,MEL,BCC,MEL,0,NO
ISIC_0071115,MEL,SCC,BKL,MEL,0,YES
ISIC_0035348,AK,MEL,SCC,AK,3,YES
ISIC_0057082,BKL,MEL,AK,BCC,2,NO
ISIC_0034887,VASC,BCC,DF,VASC,6,YES
ISIC_0067370,VASC,NV,BCC,DF,5,NO
ISIC_0060398,MEL,NV,BKL,BKL,4,NO
ISIC_0035545,NV,BKL,MEL,NV,1,YES
ISIC_0064902,DF,SCC,VASC,NV,1,NO
ISIC_0063846,MEL,BCC,NV,BKL,4,NO
ISIC_0035360,NV,DF,MEL,DF,5,NO
ISIC_0054828,NV,DF,MEL,VASC,6,NO
ISIC_0062893,AK,BKL,BCC,AK,3,YES
ISIC_0054264,BCC,BKL,MEL,MEL,0,NO
ISIC_0034954,VASC,NV,BCC,VASC,6,YES
ISIC_0056331,AK,Psoriasis,SCC,BKL,4,NO
ISIC_0034334,VASC,DF,BKL,DF,5,NO
ISIC_0034858,VASC,BCC,MEL,VASC,6,YES
ISIC_0034988,MEL,BKL,NV,MEL,0,YES
ISIC_0035940,DF,BCC,SCC,DF,5,YES
ISIC_0063564,SCC,AK,BCC,SCC,7,YES
ISIC_0055174,BCC,AK,BKL,BCC,2,YES
ISIC_0057341,MEL,BKL,NV,BKL,4,NO
ISIC_0034937,VASC,BCC,NV,VASC,6,YES
ISIC_0035950,NV,DF,MEL,BKL,4,NO
ISIC_0062059,BKL,MEL,AK,AK,3,NO
ISIC_0034847,NV,MEL,BKL,NV,1,YES
ISIC_0068503,AK,BKL,SCC,BKL,4,NO
ISIC_0072719,NV,AK,BCC,NV,1,YES
ISIC_0056050,MEL,NV,BKL,MEL,0,YES
ISIC_0061773,MEL,BKL,AK,MEL,0,YES
ISIC_0035695,NV,MEL,BKL,DF,5,NO
ISIC_0071853,BKL,BCC,AK,BKL,4,YES
ISIC_0072395,SCC,AK,BCC,SCC,7,YES
ISIC_0055062,BKL,BCC,MEL,MEL,0,NO
ISIC_0067872,BCC,SCC,AK,VASC,6,NO
ISIC_0035293,BKL,MEL,NV,BKL,4,YES
ISIC_0069814,BCC,DF,SCC,DF,5,NO
ISIC_0034876,NV,DF,BKL,DF,5,NO
ISIC_0060733,AK,MEL,SCC,AK,3,YES
ISIC_0060434,SCC,BCC,BKL,SCC,7,YES
ISIC_0063545,BCC,BKL,NV,BCC,2,YES
ISIC_0071942,NV,BKL,MEL,NV,1,YES
ISIC_0062348,BCC,MEL,VASC,BCC,2,YES
ISIC_0060695,BKL,BCC,AK,BCC,2,NO
ISIC_0056007,NV,MEL,BKL,MEL,0,NO
ISIC_0066916,MEL,NV,BKL,NV,1,NO
ISIC_0035852,NV,VASC,BCC,VASC,6,NO
ISIC_0035139,NV,MEL,BKL,MEL,0,NO
ISIC_0056645,BCC,AK,BKL,AK,3,NO
ISIC_0063140,MEL,BKL,AK,MEL,0,YES
ISIC_0069539,AK,SCC,BKL,SCC,7,NO
ISIC_0064092,NV,DF,BCC,VASC,6,NO
ISIC_0034694,BKL,NV,BCC,BKL,4,YES
ISIC_0066879,DF,SCC,BCC,DF,5,YES
ISIC_0061347,SCC,DF,BCC,VASC,6,NO
ISIC_0073000,BKL,AK,MEL,BKL,4,YES
ISIC_0036050,MEL,Psoriasis,BKL,BKL,4,NO
ISIC_0066388,AK,BKL,MEL,BKL,4,NO
ISIC_0035239,DF,SCC,NV,DF,5,YES
ISIC_0035317,Psoriasis,SCC,BCC,SCC,7,NO
ISIC_0035588,DF,NV,BKL,DF,5,YES
ISIC_0035376,AK,MEL,SCC,SCC,7,NO
ISIC_0035691,MEL,NV,BKL,SCC,7,NO
ISIC_0056592,SCC,BCC,BKL,VASC,6,NO
ISIC_0060714,BCC,DF,VASC,DF,5,NO
ISIC_0065464,AK,BKL,BCC,BKL,4,NO
ISIC_0054698,AK,BCC,SCC,AK,3,YES
ISIC_0034875,MEL,BKL,NV,MEL,0,YES
ISIC_0035949,BKL,AK,NV,BKL,4,YES
ISIC_0065939,AK,SCC,BCC,AK,3,YES
ISIC_0034455,VASC,NV,BCC,VASC,6,YES
ISIC_0036018,VASC,DF,NV,DF,5,NO
ISIC_0070320,BCC,SCC,AK,BCC,2,YES
ISIC_0069829,NV,MEL,BKL,NV,1,YES
ISIC_0035562,MEL,BKL,AK,MEL,0,YES
ISIC_0064585,MEL,NV,BKL,MEL,0,YES
ISIC_0064074,NV,BCC,VASC,NV,1,YES
ISIC_0063502,BKL,MEL,AK,BKL,4,YES
ISIC_0067579,BCC,MEL,SCC,MEL,0,NO
ISIC_0059860,AK,BCC,SCC,DF,5,NO
ISIC_0034674,NV,MEL,BKL,NV,1,YES
ISIC_0054040,VASC,BKL,BCC,VASC,6,YES
ISIC_0035809,BKL,MEL,AK,NV,1,NO
ISIC_0054420,BKL,VASC,NV,VASC,6,NO
ISIC_0035147,DF,BCC,SCC,DF,5,YES
ISIC_0055738,NV,BKL,MEL,BKL,4,NO
ISIC_0034873,DF,BKL,NV,MEL,0,NO
ISIC_0034555,VASC,NV,BCC,VASC,6,YES
ISIC_0069431,MEL,BKL,NV,NV,1,NO
ISIC_0035729,SCC,DF,BKL,DF,5,NO
ISIC_0034538,AK,BKL,SCC,AK,3,YES
ISIC_0054084,SCC,BCC,AK,VASC,6,NO
ISIC_0062519,AK,SCC,MEL,SCC,7,NO
ISIC_0068340,VASC,BCC,SCC,BCC,2,NO
ISIC_0068404,SCC,BCC,AK,VASC,6,NO
ISIC_0061455,DF,SCC,VASC,SCC,7,NO
ISIC_0035633,VASC,BCC,BKL,VASC,6,YES
ISIC_0056994,MEL,NV,BKL,BKL,4,NO
ISIC_0054294,BCC,AK,BKL,NV,1,NO
ISIC_0070479,NV,BCC,BKL,NV,1,YES
ISIC_0066265,BCC,AK,BKL,AK,3,NO
ISIC_0061845,BKL,MEL,NV,AK,3,NO
ISIC_0035128,SCC,MEL,BKL,SCC,7,YES
ISIC_0053616,AK,BCC,BKL,AK,3,YES
ISIC_0057811,AK,BKL,MEL,AK,3,YES
ISIC_0035632,MEL,NV,BKL,NV,1,NO
ISIC_0056061,MEL,BKL,BCC,MEL,0,YES
ISIC_0034739,VASC,NV,DF,VASC,6,YES
ISIC_0072913,BCC,AK,SCC,BKL,4,NO
ISIC_0057514,BCC,MEL,DF,DF,5,NO
ISIC_0067553,MEL,NV,BKL,MEL,0,YES
ISIC_0069625,BCC,SCC,AK,VASC,6,NO
ISIC_0064972,AK,BKL,BCC,AK,3,YES
ISIC_0061255,DF,NV,VASC,DF,5,YES
ISIC_0069044,AK,BCC,SCC,AK,3,YES
ISIC_0035675,NV,DF,BKL,DF,5,NO
ISIC_0035931,VASC,NV,BCC,VASC,6,YES
ISIC_0061888,BCC,AK,BKL,DF,5,NO
ISIC_0034822,VASC,BCC,DF,VASC,6,YES
ISIC_0066552,AK,BCC,SCC,BCC,2,NO
ISIC_0034682,AK,BKL,SCC,BCC,2,NO
ISIC_0054035,BCC,AK,MEL,AK,3,NO
ISIC_0070669,SCC,BCC,AK,SCC,7,YES
ISIC_0068274,MEL,NV,BKL,NV,1,NO
ISIC_0034748,BCC,MEL,SCC,SCC,7,NO
ISIC_0063348,NV,BKL,MEL,NV,1,YES
ISIC_0066788,VASC,NV,BKL,VASC,6,YES
ISIC_0067090,SCC,DF,BKL,BKL,4,NO
ISIC_0035976,BKL,BCC,AK,BCC,2,NO
ISIC_0059610,BCC,AK,SCC,SCC,7,NO
ISIC_0056539,MEL,BKL,NV,MEL,0,YES
ISIC_0060708,MEL,BKL,NV,AK,3,NO
ISIC_0060438,NV,MEL,BKL,NV,1,YES
ISIC_0065112,AK,BCC,SCC,BCC,2,NO
ISIC_0035276,NV,BCC,DF,DF,5,NO
ISIC_0035724,VASC,DF,NV,VASC,6,YES
ISIC_0054714,BCC,AK,SCC,BCC,2,YES
vitiligo_original_vitiligo_original_roi117.jpg_58288e53-61f8-4e27-ac71-ccd0116f7762.jpg_46cef729-80ec-4f3a-bcff-05af053d6b43.jpg,Vitiligo,NV,AK,Vitiligo,8,YES
vitiligo_original_roi209.jpg_96f78a75-15a9-4dda-8b7d-2ca5f471e682.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_roi39.jpg_41647c73-152a-4878-9d29-96603838f981.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi293.jpg_58fcdf8b-ff94-4e17-aa50-6944471ea249.jpg_99142d1a-c51b-46d6-9261-5f648de7f215.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_roi354.jpg_72c69155-f1e7-41e9-bfcf-5a70d17798cd.jpg,Vitiligo,MEL,BKL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi11.jpg_d0fde726-0dc4-4830-bead-b0a29700533b.jpg_890ab236-fd6c-491c-82c1-799a1c033965.jpg,Vitiligo,Pityrasis-Alba,Psoriasis,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi355.jpg_52295226-24aa-4025-98c9-370db881ad42.jpg_04b5d81b-dcdc-463a-8039-a7d8221c881b.jpg,Vitiligo,Psoriasis,MEL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi68.jpg_476d605a-fd62-4340-b6e8-5e15fd341e62.jpg_d031d993-8383-4cc8-8648-234a4d91b9f2.jpg,Vitiligo,Psoriasis,BCC,Vitiligo,8,YES
vitiligo_original_roi367.jpg_325fd9d7-106f-46d2-9f9b-036f7b39dbe5.jpg,Vitiligo,BKL,Psoriasis,Vitiligo,8,YES
vitiligo_original_roi102.jpg_2def0ebc-a71e-4086-8548-aae165bade44.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi271.jpg_08ae1260-f97e-4da8-becb-4949740fc0b6.jpg_1379b97a-d1e3-4597-ae5b-9e371eb4c96b.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_roi26.jpg_0dcca7cb-1eb8-4fd9-a6f9-bd7539a66e7a.jpg,Vitiligo,BKL,NV,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi339.jpg_5c398f98-6370-4199-8f2d-e52180c31e8d.jpg_df8d6cbe-a534-4642-9a59-9878317dafb8.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi97.jpg_39c6bb79-5c89-4d26-8521-fd28fbdee03f.jpg_e08d7baf-a861-4a05-b1c6-0d1969efb3a9.jpg,Vitiligo,VASC,SCC,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi299.jpg_31f1ec8d-6936-416f-a5d2-ff69586be7fa.jpg_dd30a973-4c10-45b7-b197-2d9e98405542.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi42.jpg_aee21eb5-1164-43c2-bff8-8ccbade6dcc4.jpg_c8c1e9ce-d97f-4844-bd71-30eec2afbddc.jpg,Vitiligo,Pityrasis-Alba,Psoriasis,Vitiligo,8,YES
vitiligo_original_roi65.jpg_6151c941-f136-4fda-a0ca-50f02b737e89.jpg,Vitiligo,BKL,BCC,Vitiligo,8,YES
vitiligo_original_roi84.jpg_0688815e-cbfb-41fa-b968-c744d9f0f67e.jpg,Vitiligo,Pityrasis-Alba,NV,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi193.jpg_0aec3a81-1c5c-4038-92b6-c090ecdf88f8.jpg_c6e4ab66-d987-41d9-b995-23ca8f7bbd12.jpg,Vitiligo,NV,Pityrasis-Alba,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi223.jpg_c0661f78-4ead-4494-a298-739fe1da00b0.jpg_d8df6f6a-79b8-4789-803b-add55a7d0346.jpg,Vitiligo,Psoriasis,Pityrasis-Alba,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi188.jpg_3459acad-30bd-450f-a86d-5a8d78aeffc1.jpg_dbddd07d-0119-424f-bf9c-2b39aaed741a.jpg,Vitiligo,VASC,NV,Vitiligo,8,YES
vitiligo_original_roi306.jpg_934047e0-18b8-491d-bd1a-b02ece68a328.jpg,Vitiligo,Pityrasis-Alba,Psoriasis,Vitiligo,8,YES
vitiligo_original_vitiligo_original_roi263.jpg_c590645a-8d22-461c-a4a7-7d45edb342a5.jpg_79278edd-5ba8-4958-b9e1-912039b7eaf6.jpg,Vitiligo,Pityrasis-Alba,BCC,Vitiligo,8,YES
vitiligo_original_roi348.jpg_63e86742-90c0-40bf-a72b-ff26d9bed178.jpg,Vitiligo,NV,BKL,Vitiligo,8,YES
